codigo_ibge,ano,turno,data_eleicao,cargo,aptos,secoes,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_nominais,votos_legenda
4201109,1994,1,1994-10-03,governador,2723,0,2273,450,1873,330,67,1873,0
4201109,1994,1,1994-10-03,presidente,2723,0,2273,450,1968,195,107,1968,0
4201109,1994,1,1994-10-03,senador,2723,0,2273,450,2794,1474,275,2794,0
4201208,1994,1,1994-10-03,deputado estadual,4612,0,4279,333,3068,578,629,2924,144
4201208,1994,1,1994-10-03,deputado federal,4612,0,4279,333,2743,780,752,2634,109
4201208,1994,1,1994-10-03,governador,4612,0,4279,333,3763,402,111,3763,0
4201208,1994,1,1994-10-03,presidente,4612,0,4279,333,3805,283,188,3805,0
4201208,1994,1,1994-10-03,senador,4612,0,4279,333,5708,2424,423,5708,0
4201257,1994,1,1994-10-03,deputado estadual,5493,0,4674,819,2533,855,1283,2463,70
4201257,1994,1,1994-10-03,deputado federal,5493,0,4674,819,2734,676,1261,2667,67
4201257,1994,1,1994-10-03,governador,5493,0,4674,819,3532,845,294,3532,0
4201257,1994,1,1994-10-03,presidente,5493,0,4674,819,3795,481,395,3795,0
4201257,1994,1,1994-10-03,senador,5493,0,4674,819,5231,3117,997,5231,0
4201273,1994,1,1994-10-03,deputado estadual,2661,0,2465,196,1967,220,275,1939,28
4201273,1994,1,1994-10-03,deputado federal,2661,0,2465,196,1585,551,326,1543,42
4201273,1994,1,1994-10-03,governador,2661,0,2465,196,2025,362,75,2025,0
4201273,1994,1,1994-10-03,presidente,2661,0,2465,196,2189,161,112,2189,0
4201273,1994,1,1994-10-03,senador,2661,0,2465,196,3539,1163,225,3539,0
4201307,1994,1,1994-10-03,deputado estadual,8646,0,6924,1722,4471,913,1611,4370,101
4201307,1994,1,1994-10-03,deputado federal,8646,0,6924,1722,4150,1141,1704,4039,111
4201307,1994,1,1994-10-03,governador,8646,0,6924,1722,5158,1477,286,5158,0
4201307,1994,1,1994-10-03,presidente,8646,0,6924,1722,5804,599,518,5804,0
4201307,1994,1,1994-10-03,senador,8646,0,6924,1722,9064,3725,1056,9064,0
4201406,1994,1,1994-10-03,deputado estadual,33475,0,28866,4609,21951,3395,3517,21298,653
4201406,1994,1,1994-10-03,deputado federal,33475,0,28866,4609,19007,5598,4258,18421,586
4201406,1994,1,1994-10-03,governador,33475,0,28866,4609,23288,4716,859,23288,0
4201406,1994,1,1994-10-03,presidente,33475,0,28866,4609,25267,2255,1341,25267,0
4201406,1994,1,1994-10-03,senador,33475,0,28866,4609,35974,18802,2953,35974,0
4201505,1994,1,1994-10-03,deputado estadual,4537,0,3870,667,2530,670,667,2465,65
4201505,1994,1,1994-10-03,deputado federal,4537,0,3870,667,2699,597,571,2659,40
4201505,1994,1,1994-10-03,governador,4537,0,3870,667,3159,574,134,3159,0
4201505,1994,1,1994-10-03,presidente,4537,0,3870,667,3269,373,225,3269,0
4201505,1994,1,1994-10-03,senador,4537,0,3870,667,4914,2237,586,4914,0
4201604,1994,1,1994-10-03,deputado estadual,2574,0,2317,257,1648,317,349,1636,12
4201604,1994,1,1994-10-03,deputado federal,2574,0,2317,257,1369,484,461,1346,23
4201604,1994,1,1994-10-03,governador,2574,0,2317,257,1825,342,147,1825,0
4201604,1994,1,1994-10-03,presidente,2574,0,2317,257,1951,198,165,1951,0
4201604,1994,1,1994-10-03,senador,2574,0,2317,257,3329,1019,283,3329,0
4201653,1994,1,1994-10-03,deputado estadual,1652,0,1505,147,1180,150,172,1169,11
4201653,1994,1,1994-10-03,deputado federal,1652,0,1505,147,1093,230,179,1080,13
4201653,1994,1,1994-10-03,governador,1652,0,1505,147,1289,192,21,1289,0
4201653,1994,1,1994-10-03,presidente,1652,0,1505,147,1347,98,57,1347,0
4201653,1994,1,1994-10-03,senador,1652,0,1505,147,2379,523,105,2379,0
4201703,1994,1,1994-10-03,deputado estadual,4702,0,4147,555,2421,638,1085,2339,82
4201703,1994,1,1994-10-03,deputado federal,4702,0,4147,555,2455,708,981,2352,103
4201703,1994,1,1994-10-03,governador,4702,0,4147,555,3322,546,276,3322,0
4201703,1994,1,1994-10-03,presidente,4702,0,4147,555,3569,271,304,3569,0
4201703,1994,1,1994-10-03,senador,4702,0,4147,555,4940,2577,774,4940,0
4201802,1994,1,1994-10-03,deputado estadual,3132,0,2735,397,2047,312,373,1967,80
4201802,1994,1,1994-10-03,deputado federal,3132,0,2735,397,1956,398,378,1892,64
4201802,1994,1,1994-10-03,governador,3132,0,2735,397,2363,293,76,2363,0
4201802,1994,1,1994-10-03,presidente,3132,0,2735,397,2410,216,106,2410,0
4201802,1994,1,1994-10-03,senador,3132,0,2735,397,3869,1336,262,3869,0
4201901,1994,1,1994-10-03,deputado estadual,4018,0,3575,443,2580,444,548,2511,69
4201901,1994,1,1994-10-03,deputado federal,4018,0,3575,443,2070,817,685,1988,82
4201901,1994,1,1994-10-03,governador,4018,0,3575,443,2967,487,118,2967,0
4201901,1994,1,1994-10-03,presidente,4018,0,3575,443,3175,228,169,3175,0
4201901,1994,1,1994-10-03,senador,4018,0,3575,443,4701,1847,599,4701,0
4202008,1994,1,1994-10-03,deputado estadual,31792,0,26241,5551,19251,2995,3992,18592,659
4202008,1994,1,1994-10-03,deputado federal,31792,0,26241,5551,20607,2200,3431,20100,507
4202008,1994,1,1994-10-03,governador,31792,0,26241,5551,21660,3295,1283,21660,0
4202008,1994,1,1994-10-03,presidente,31792,0,26241,5551,23472,1268,1498,23472,0
4202008,1994,1,1994-10-03,senador,31792,0,26241,5551,34691,13863,3925,34691,0
4202057,1994,1,1994-10-03,deputado estadual,3324,0,2583,741,1929,231,420,1915,14
4202057,1994,1,1994-10-03,deputado federal,3324,0,2583,741,1696,409,475,1668,28
4202057,1994,1,1994-10-03,governador,3324,0,2583,741,2110,369,101,2110,0
4202057,1994,1,1994-10-03,presidente,3324,0,2583,741,2246,191,143,2246,0
4202057,1994,1,1994-10-03,senador,3324,0,2583,741,3542,1194,427,3542,0
4202107,1994,1,1994-10-03,deputado estadual,8643,0,6837,1806,4742,783,1309,4645,97
4202107,1994,1,1994-10-03,deputado federal,8643,0,6837,1806,4240,1197,1397,4145,95
4202107,1994,1,1994-10-03,governador,8643,0,6837,1806,5462,1054,318,5462,0
4202107,1994,1,1994-10-03,presidente,8643,0,6837,1806,5854,526,454,5854,0
4202107,1994,1,1994-10-03,senador,8643,0,6837,1806,8795,3863,1013,8795,0
4202156,1994,1,1994-10-03,deputado estadual,2218,0,1800,418,1254,224,319,1201,53
4202156,1994,1,1994-10-03,deputado federal,2218,0,1800,418,1077,399,321,1022,55
4202156,1994,1,1994-10-03,governador,2218,0,1800,418,1469,277,51,1469,0
4202156,1994,1,1994-10-03,presidente,2218,0,1800,418,1575,131,91,1575,0
4202156,1994,1,1994-10-03,senador,2218,0,1800,418,2489,892,216,2489,0
4202206,1994,1,1994-10-03,deputado estadual,6023,0,5454,569,3768,610,1073,3726,42
